lyrics;title
"El ser un animal nocturno era una bella rutina
Conquistar a chicas del Jet-Set o a mujerzuelas de esquina
Si es que no son la misma cosa con diferencia de precio
Entrar a algun bar sin conocer ni que me conozcan
Entonar una cancion y esperar el trago de cortesia
Que siempre venia, era mi filosofia
Hasta que un productor segun el me hizo el favor
De grabarme un disco
Y metio la inspiracion en una computadora
Y aquel fuego de libertad en refrigeradora
Me dijeron quitate esos jeans y esa camisa vaquera
Tendremos que cambiarte de look pues ese nadie lo aprueba
Tendras imagen nueva y una prospera carrera
Luciendo siempre cara de mascota recien comprada
Sali en la tele con cierto dejo de tristeza en la mirada
Y el alma enfadada de cantar sin decir nada
Me canse de los representantes y cocteles de moda
Me canse de toda esa gente que dice que te adora
Das la espalda y te ignora, me harte de no ser el mismo
Me compre unos cuantos amigos una novia y un perro
Los amigos y la novia se fueron
Solo me quedo el perro que no tiene prejuicios
Y me acepta como soy
Por eso vine a este bar y aqui me pagan diez mil pesos la hora
Tengo un cuarto con balcon y hasta una chica que me adora
Y es tanta mi fe que aunque no tengo jardin ya compre una podadora
Y es tanta mi fe que aunque no tengo jardin ya compre una podadora
";Animal nocturno
"[Introducción]
Todo empezó un lunes de setiembre
La magnitud de la ruptura tardo 24 horas en digerirse
Cuando se hizo martes, y fue de noche
Los fantasmas de la ausencia empezaron a adueñarse de todo
Mientras se desintegraban los sueños
Se multiplicaban los fantasmas
La risa, como cosa del pasado
El llanto, lluvia desbordada
Aprender a vivir en compañía
Fue negarse a vivir en soledad
El aire se hace denso
Los días se hacen largos
Y las noches son infiernos de insomnio y melancolía
Tantos martes, tantos setiembres
Y solo acá, una fecha cualquiera
Marco el principio, de un final en pausas
Ese día empezó, lo que terminaba
[Verso]
Cabe un siglo en este martes por la noche
Dueles más que el peor dolor que se inventó
El espejo lanza dardos de reproche
Hoy empieza lo que ya se terminó
<a annotation-fragment=""13143163"" class=""referent"" classification=""accepted"" data-id=""13143163"" href=""/Ricardo-arjona-apnea-lyrics#note-13143163"" image=""false"" ng-class=""{
          'referent--linked_to_preview': song_ctrl.referent_has_preview(fragment_id),
          'referent--linked_to_preview_active': song_ctrl.highlight_preview_referent(fragment_element_id),
          'referent--purple_indicator': song_ctrl.show_preview_referent_indicator(fragment_element_id)
        }"" ng-click=""open()"" on-hover-with-no-digest=""set_current_hover_and_digest(hover ? fragment_id : undefined)"" pending-editorial-actions-count=""0"" possibly-branded=""false"" prevent-default-click="""">La esperanza se tiró por la ventana
El insomnio se quedó a vivir aquí
El ayer lo dejó todo pa'mañana
Y el mañana, cuando esté, yo ya me fui
[Coro]
No consigo respirar
Hago apnea desde el día en que no estás
Caigo hasta el fondo del mar
Arañando la burbuja en que no estás
Imposible respirar
El oxígeno se fue de este lugar
[Verso]
Te regalo esta canción desesperada
Desabrida como lunes por la tarde
Colapsado caigo al fondo y en picada
Y no tengo ni el valor pa'ser cobarde
[Coro]
No consigo respirar
Hago apnea desde el día en que no estás
Caigo hasta el fondo del mar
Arañando la burbuja en que no estás
Imposible respirar
El oxígeno se fue de este lugar
[Puente]
Prisa de rendirse y claudicar
Descenso en espiral, profundidad
Amnesia de pelear por respirar
Deseo de rendirse en soledad
Oxígeno golpeando una pared
El pulso tropezando sin radar
Colapsa corazón a su merced
Morir será mejor que recordar
[Coro]
No consigo respirar
Hago apnea desde el día en que no estás
Caigo hasta el fondo del mar
Arañando la burbuja en que no estás
Imposible respirar
El oxígeno se fue de este lugar
";Apnea
"Tenia sueños en la cabeza
Tropezando con sumas why multiplicaciones
Viviendo entre la tabla del nueve
Geografia universal why las colonizaciones
Entre el ingles why las montañas de Europa
Agonizaban todas mis ilusiones
Un dia al salir de la escuela
Mi padre why su regalo cambiaron mi destino
Colgaba de su mano una bolsa
Dibujada por curvas como las de un camino
Era una guitarra cafe
Envuelta en un papel crepe
Why aqui estoy
Con la misma guitarra
Cantandole al viento
Why aqui estoy
Un gitano urbano escribiendole al tiempo
Aqui estoy
El mundo dentro de una guitarra
Aqui estoy
Por fin solte las amarras
Hoy dicen que soy el resultado
De un mundo tan loco why tan convulsionado
Que despues de ser un niño ejemplo
He pasado a ser templo de los peores pecados
Amo mi guitarra cafe
Why aun guardo aquel papel crepe
Why aqui estoy
Con la misma guitarra
Cantandole al viento
Why aqui estoy
Un gitano urbano escribiendole al tiempo
Aqui estoy
El mundo dentro de una guitarra
Aqui estoy
Por fin solte las amarras
Aqui estoy
Aqui estoy
";Aqui Estoy
"Tenia sueos en la cabeza
Tropezando con sumas y multiplicaciones
Viviendo entre la tabla del nueve
Geografia universal y las colonizaciones
Entre el ingles y las montaas de Europa
Agonizaban todas mis ilusiones
Un dia al salir de la escuela
Mi padre y su regalo cambiaron mi destino
Colgaba de su mano una bolsa
Dibujada por curvas como las de un camino
Era una guitarra cafe
Envuelta en un papel crepe
Y aqui estoy
Con la misma guitarra
Cantandole al viento
Y aqui estoy
Un gitano urbano escribiendole al tiempo
Aqui estoy
El mundo dentro de una guitarra
Aqui estoy
Por fin solte las amarras
Hoy dicen que soy el resultado
De un mundo tan loco y tan convulsionado
Que despues de ser un nio ejemplo
He pasado a ser templo de los peores pecados
Amo mi guitarra cafe
Y aun guardo aquel papel crepe
Y aqui estoy
Con la misma guitarra
Cantandole al viento
Y aqui estoy
Un gitano urbano escribiendole al tiempo
Aqui estoy
El mundo dentro de una guitarra
Aqui estoy
Por fin solte las amarras
Aqui estoy
";Aqui estoy (en vivo) - en vivo
"Como querer bajar a pedradas una estrella fugaz
Como querer encontrarse un humano sin antifaz
Como decir que Hitler murio en paz
Y que el Guazon jamas uso un disfraz
Como decir que Madonna es puritana y conservadora
O asegurar que Donald Trump vive en un departamento en mora
Y que Lucia y la Vero se adoran
Y que Pablito Ruiz canta en la nueva trova
Asi de ilogica es mi vida sin ti
Asi de ironica, asi de estupida
Asi de absurda es mi vida sin ti
Como un bronceador en casa de esquimales
Asi de ilogica es mi vida si ti
Como encontrarse un monumento de Bush en plena Habana
O asegurar que fue Serrat el compositor de Banana
O que subsistan poetas sin ventana
O un optimista que no crea en mañana
Asi de ilogica es mi vida sin ti
Asi de ironica, asi de estupida
Me siento intruso en mi propia casa
Y no hay quien me explique lo que pasa
Asi de ilogica es mi vida sin ti
Asi de ironica, asi de estupida
Asi de absurda es mi vida sin ti
Como un bronceador en casa de esquimales
Asi de ilogica es mi vida si ti
Como un bronceador en casa de esquimales
Asi de ilogica es mi vida sin ti
Asi de ironica, asi de estupida
";Así de Ilógico
"Me colgué de tu mirada, me resbalé en tu nariz
Y salté de la catapulta de tu mirada de tu quijada
Después de echarme un chapuzón entre tus labios
Sin más locomoción que la imaginación
Fui a parar a tu cuello y de tu cuello a tu blusa
Y me colé por el orificio de un botón
Después de hecharle un buen vistazo al corazón
En alas de un avión que es pura ilusión
Y ya dentro de tu blusa fui bordeando tu figura
Midiendo beso a beso la extensión de tu estatura
Y tropecé con un cinturón que se ajustaba a tu cintura
Que me devolvió a mi posición, a siete metros de tu ubicación
Y yo que no se como te llamas ni tu edad
Donde vives, como piensas, si compartes tu humedad
Heme aquí como un pirara hurgando tu intimidad
A siete metros de tu integridad
Derrapé por tu ombligo, fui a parar hasta el fondo
Y salí con la ayuda de un frágil bello
Mientras buscaba una manera
De burlar tu cinturón con pura imaginación
Soñando me hice un microbio, y pasé sin agacharme
Y me deslumbró tu ropa interior
Y cuando estaba a punto de encontrarte
Me interrumpió un mesero: ¿le sirvo otro igual?
Tráigame un whisky doble, y siéntase el dueño de mi desgracia
Estaba a punto de hallarla cuando usted me interrumpió
Y volteé para verla y ella ya no estaba ahí
Y me quedé como siempre, a siete metros de la realidad
Y yo que no se como te llamas ni tu edad
Donde vives, como piensas, si compartes tu humedad
Heme aquí como un pirara hurgando tu intimidad
A siete metros de tu integridad
";A Siete Metros
"Tengo millas de vuelo para ir a Pluton
Tengo un club de fans en la Luna
Una casa gigante que veo desde un avion
Y en los ojos de algunos fortuna
Un ejercito de alcahuetes
Una foto con Bush
Una suite en el Waldorf
Y mas autos que amigos
Tengo ganas de no tener ganas
Tengo un par de mascotas que no saben quien soy
Y entre tanto que tengo
No encuentro razon suficiente pa' olvidarme de ti
De tu mano pequeña diciéndome adiós
Esa tarde de lluvia en San Juan
Con los besos que llevo conmigo
Que son solo tuyos y nunca te di
Por andar ocupado en el cielo
Me olvide que en el suelo se vive mejor
Mi boricua, mi india, mi amor
Mi asignatura pendiente...
Mi boricua, mi india, mi amor
Mi asignatura pendiente...
Tengo tres oficinas y un piso en New York
Y el rey Midas trabaja conmigo
Tengo varias razones para tener razon
De que no hay peor razon que el olvido
Si contacto al niño que fui
Tengo ganas de anclar
Y otras tantas de huir
A algún sitio perdido
Tengo ganas de no tener ganas
De comprarme un boleto de regreso al ayer
Y entre tanto que tengo
No encuentro razon suficiente pa' olvidarme de ti
De tu mano pequeña diciéndome adiós
Esa tarde de lluvia en San Juan
Con los besos que llevo conmigo
Que son solo tuyos y nunca te di
Por andar ocupado en el cielo
Me olvide que en el suelo se vive mejor
Mi boricua, mi india, mi amor
Mi asignatura pendiente...
Mi boricua, mi india, mi amor
Mi asignatura pendiente...
";Asignatura pendiente
"A ti te estoy hablando a ti
A ti la que no escucha
A ti que con lo que te sobra
Me darías la luz para encender los días
A ti que juegas a ganarme
Cuando sabes bien que lo he perdido todo
A ti te estoy hablando a ti
Aunque te importe poco lo que estoy diciendo
A ti te estoy hablando a ti
Aunque es perder el tiempo
A ti que te paso tan lejos
El rigor del llanto y la melancolía
Si nunca dije la verdad
Fue porque la verdad siempre fue una mentira
A ti te estoy hablando a ti
Aunque te valga madre lo que estoy diciendo
A ti que te falto el valor para pelear por ti
A ti que te consuelas con cubrirte de Channel
Las huellas de mis besos
A ti ya no te queda nada
A ti ya no te queda nada
Nada
A ti que por despecho estas pensando con los pies
A ti que me dejaste solo incluso cuando estabas en mi compañía
A ti ya no te queda nada a ti ya no te queda nada
Nada
A ti te estoy hablando a ti
Tan sorda y resignada
A ti que duermes con tu orgullo
Y te dejas tocar con tu rencor barato
A ti que te gusta ir de mártir
Repartiendo culpas que son solo tuyas
A ti te estoy hablando a ti
Porque no hay nadie más que entienda lo que digo
A ti que te falto el valor para pelear por ti
A ti que te consuelas con cubrirte de Channel
Las huellas de mis besos
A ti ya no te queda nada
A ti ya no te queda nada
Nada
A ti que por despecho estas pensando con los pies
A ti que me dejaste solo incluso cuando estabas en mi compañía
A ti ya no te queda nada a ti ya no te queda nada
Nada
A ti ya no te queda nada y a mi me queda por lo menos
Este síndrome incurable de quererte tanto
A ti que te falto el valor para pelear por ti
A ti que te consuelas con cubrirte de Channel
Las huellas de mis besos
A ti ya no te queda nada
A ti ya no te queda nada
Nada
";A ti
"Si me dices que si, piensalo dos veces
Puede que te convenga decirme que no
Si me dices que no puede que te equivoques
Yo me dare a la tarea de que me digas que si
Si me dices que no dejare de soñar y me volvere' un idiota
Mejor dime que no y dame ese si como un cuenta gotas
Dime que no,pensando en un s
Y dejame lo otro a mi
Que si se me pone facil
El amor se hace fragil y uno para de soñar
Dime que no
Y deja la puerta abierta
Dime que no
Y me tendras pensando todo el dia en ti
Planeando una estrategia para un si
Dime que no
Y lanzame un si camuflageado
Clavame una duda
Y me quedare' a tu lado
Si me dices que si se fugara' lo incierto
Y esa cosquilla en la panza cuando estas por venir
Si me dices que no seguire' conquistando
Descubriendote cosas que ni tu' te conoces
Dime que no
Y me tendras pensando todo el dia en ti
Planeando una estrategia para un si
Dime que no
Y lanzame un si camuflageado
Clavame una duda
Y me quedaré a tu lado
Siempre lo facil me duró tan poco
Y no lo niego me divierti
Pero la soledad me ha vuelto loco
Porque el amor nunca ha pasado por aqui
Dime que no
Y me tendras pensando todo el dia en ti
Planeando una estrategia para un si
Dime que no
Y lanzame un si camuflageado
Clavame una duda
Y me quedare' a tu lado
Dime que no
Y me tendras pensado todo el dia en ti
Dime que no
";A ti - Nueva version [A dueto con Eros Ramazzotti]
"Donde estes
Creo que es justo que te enteres
Que estosy bien que sobrevivo
Que vivo en la calle amores
Piso 6, cuarto 28
Y que ya no juego al futbol
Por mi rodilla
Que Manuel
Se casó y se fue pa España
Que fumo más y duermo menos
Que hasta me deje la barba
Y sobre todo que te enteres
Que apesar de tus errores, y los mios
CORO:
Aún te amo
No sé si por idiota o por romántico
No se si por novato o por nostálgico
Aún te amo no se si por iluso o fatalista
No se sipor cobarde o masoquista
Pero te amo
Y no se hacer otra cosa mas que eso
Aquí todo sigue igual que antes
Yo estoy solo como nunca
Por eso escribo la presente
Y no pretendo que hagas nada
Solo queria asegurarme que supieras
CORO
";Aún te amo
"""Buenas tardes doctor""
""Buenas tardes
Adelante...
Sí, en el sofa por favor
Ponte cómodo
Recuéstate, sí
Vas a pensar que has sido un ave que ha estado enjaulada
Durante toda su vida
Y que hoy esta a punto de abrir esa puerta
La puerta de esa jaula
Vamos, con confianza
Cuéntame que te pasa""
Ella vive conmigo en mi inconsciente
Ella es dueña de mi pasado y mi presente
Su morada es mi falta de seguridad
Y su comida mi ansiedad
Ayúdame Freud
Ella pisa cada uno de mis pasos
Bebe el vino junto a mi en el mismo vaso
Ella es la mujer perfecta que me construyó mamá
Y esta jodiendo mi psicología
Ayúdame Freud
Seráa doctor
Que el chaleco de fuerza
Aún sigue atando mi cordura
Que mis complejos aún no razgan su costura
O seráa que la mujer que me construyó mamá
Es muy grande de estatura
Será doctor
Que pido mucho o me conformo con poco
Que sigo cuerdo o estoy totalmente loco
O será que la vida no es otra cosa
Que un racimo de antojos
Y la que paga los platos rotos
Siempre es ella
La de a deveras
La que me cuida
La que me entibia mis noches de tanto frío
La que me espera
La que me aguanta
La enemiga del fantasma en mi cabeza
Me la construyeron puritana e inteligente
Buena para la cocina y muy decente
Tan irreal que existiría en mi mente y nada más
Pero insisto en compararla con ella
Ayúdame Freud
Si usa la falda muy corta habrá un problema
Pues la chica en mi cabeza es de otro esquema
Si se le ocurre una idea
Habrá que ver que dice ella
Y se siente como la mierda
Ádoctor
Que el chaleco de fuerza aún sigue atando mi cordura
Que mis complejos aún no razgan su costura
O será que la mujer que me construyó mamá
Es de muy grande estatura
Será doctor
Que pido mucho o me conformo con poco
Que sigo cuerdo o estoy totalmente loco
O será que la vida no es otra cosa
Que un racimo de antojos
Y la que paga los platos rotos siempre es ella
La de a deveras
La que me cuida
La que me entibia mis noches de tanto frío
La que me espera
La que me aguanta
La enemiga del fantasma en mi cabeza
Será doctor
Que esto me pasa solo a mi
O a todo el mundo
Y el doctor me contestó
No hay quien se salve de este asunto...
";Ayúdame Freud
"Yo bailo al son que me toca la vida
Soy medio loco y suicida
Guitarra al hombro y me lanzo al vacio
Sin paracaidas
Tu bailas algo fino y tan distinto
Asi quiso hacer tu instinto
Yo canto bajo un farol
Tu en un bello recinto
Pero decia el abuelo que dos diferencias
Pueden irse formando dos grandes coincidencias
Baila conmigo
Tan solo baila conmigo
Corazon con corazon que me sobra pulmon
Para toda la vida
Baila conmigo
Tan solo baila conmigo
Que no es la situacion sino el corazon
Quien decide el camino
Tu delicada como porcelana
Con encajes en tu cama
Mi mas grande rutina es hacer
Lo que me da la gana
Para mi sigue siendo lo primero
Ser un perro callejero
Pegarle duro a la Fender
Hasta abrir agujero
Pero decia el abuelo que dos diferencias
Pueden irse formando dos grandes coincidencias
Baila conmigo
Tan solo baila conmigo
Corazon con corazon que me sobra pulmon
Para toda la vida
Baila conmigo
Tan solo baila conmigo
Que no es la situacion sino el corazon
Quien decide el camino
Baila conmigo
Tan solo baila conmigo
Corazon con corazon que me sobra pulmon
Para toda la vida
";Baila Conmigo
